Law Enforcement Agency,Agency Type,STATE,County Name,Program Type,ICE Signed Date,Location,Jurisdiction Population (2024 US Census ACS
Columbia County Sheriff's Office,County,FLORIDA,Columbia County,Warrant Service Officer,"May 6, 2019","Lake City, FLORIDA 32055",73977
Charlotte County Sheriff's Office,County,FLORIDA,Charlotte County,Warrant Service Officer,"May 6, 2019","Punta Gorda, FLORIDA 33950",212122
Hernando County Sheriff's Office,County,FLORIDA,Hernando County,Warrant Service Officer,"May 6, 2019","Brooksville, FLORIDA 34601",218150
Manatee County Sheriff's Office,County,FLORIDA,Manatee County,Warrant Service Officer,"May 6, 2019","Bradenton, FLORIDA 34205",458352
Brevard County Sheriff's Office,County,FLORIDA,Brevard County,Warrant Service Officer,"May 6, 2019","Titusville, FLORIDA 32780",658447
Polk County Sheriff's Office,County,FLORIDA,Polk County,Warrant Service Officer,"May 6, 2019","Bartow, FLORIDA 33830",852878
Seminole County Sheriff's Office,County,FLORIDA,Seminole County,Warrant Service Officer,"Sep 4, 2019","Sanford, FLORIDA 32771",494605
Liberty County Sheriff's Office,County,FLORIDA,Liberty County,Warrant Service Officer,"Sep 9, 2019","Bristol, FLORIDA 32321",7955
Calhoun County Sheriff's Office,County,FLORIDA,Calhoun County,Warrant Service Officer,"Sep 9, 2019","Blountstown, FLORIDA 32424",13278
Madison County Sheriff's Office,County,FLORIDA,Madison County,Warrant Service Officer,"Sep 9, 2019","Madison, FLORIDA 32340",18364
Flagler County Sheriff's Office,County,FLORIDA,Flagler County,Warrant Service Officer,"Sep 9, 2019","Bunnell, FLORIDA 32110",136744
Lafayette County Sheriff's Office,County,FLORIDA,Lafayette County,Warrant Service Officer,"Oct 15, 2019","Lafayette County, FLORIDA",8640
Franklin County Sheriff's Office,County,FLORIDA,Franklin County,Warrant Service Officer,"Oct 15, 2019","Eastpoint, FLORIDA 32328",12979
Hamilton County Sheriff's Office,County,FLORIDA,Hamilton County,Warrant Service Officer,"Oct 15, 2019","Jasper, FLORIDA 32052",14334
Jefferson County Sheriff's Office,County,FLORIDA,Jefferson County,Warrant Service Officer,"Oct 15, 2019","County: Jefferson County, FLORIDA",15921
Holmes County Sheriff's Office,County,FLORIDA,Holmes County,Warrant Service Officer,"Oct 15, 2019","County: Holmes County, FLORIDA",19876
Taylor County Sheriff's Office,County,FLORIDA,Taylor County,Warrant Service Officer,"Oct 15, 2019","Perry, FLORIDA 32347",21843
Bradford County Sheriff's Office,County,FLORIDA,Bradford County,Warrant Service Officer,"Oct 15, 2019","Starke, FL 32091",28075
Baker County Sheriff's Office,County,FLORIDA,Baker County,Warrant Service Officer,"Oct 15, 2019","Maccleny, FLORIDA 32063",29325
DeSoto County Sheriff's Office,County,FLORIDA,DeSoto County,Warrant Service Officer,"Oct 15, 2019","Arcadia, FLORIDA 34266",36744
Wakulla County Sheriff's Office,County,FLORIDA,Wakulla County,Warrant Service Officer,"Oct 15, 2019","County: Wakulla County, FLORIDA",37115
Okeechobee County Sheriff's Office,County,FLORIDA,Okeechobee County,Warrant Service Officer,"Oct 15, 2019","Okeechobee, FLORIDA 34972",42369
Hendry County Sheriff's Office,County,FLORIDA,Hendry County,Warrant Service Officer,"Oct 15, 2019","LaBelle, FLORIDA 33935",46130
Suwannee County Sheriff's Office,County,FLORIDA,Suwannee County,Warrant Service Officer,"Oct 15, 2019","Live Oak, FLORIDA 32064",47536
Putnam County Sheriff's Office,County,FLORIDA,Putnam County,Warrant Service Officer,"Oct 15, 2019","Palatka, FLORIDA 32177",77301
Monroe County Sheriff's Office,County,FLORIDA,Monroe County,Warrant Service Officer,"Oct 15, 2019","Key West, FLORIDA 33040",80908
Highlands County Sheriff's Office,County,FLORIDA,Highlands County,Warrant Service Officer,"Oct 15, 2019","Sebring, FLORIDA 33870",109778
Sumter County Sheriff's Office,County,FLORIDA,Sumter County,Warrant Service Officer,"Oct 15, 2019","Bushnell, FLORIDA 33513",154693
