LAW ENFORCEMENT AGENCY,STATE,SIGNED,REMOVED,NOTES
Person County Sheriff's Office,NORTH CAROLINA,"Feb 10, 2026","Apr 10, 2026",Removed from ICE list published 4/10/2026.
COMET Drug Task Force,MISSOURI,"Mar 2, 2026","Apr 1, 2026",Entry updated on 3/17/2026 to show Signed Date = 3/2/2026 (originally listed as 3/13/2026). Removed from ICE list published 4/1/2026.
McMullen County Sheriff's Office,TEXAS,"Feb 27, 2025","Apr 1, 2026",Removed from ICE list published 4/1/2026.
Bullitt County Detention Center,KENTUCKY,"Mar 21, 2025","Mar 27, 2026",Removed from ICE list published 3/27/2026.
Stanton Police Department,KENTUCKY,"Dec 15, 2025","Mar 20, 2026",Removed from ICE list published 3/20/2026.
Caney Valley Public Schools Police Department,OKLAHOMA,"Mar 13, 2026","Mar 18, 2026",Added to ICE list published 3/16/2026. Removed from ICE list published 3/18/2026.
Office of Constable Monroeville 6th Ward,PENNSYLVANIA,"Jul 15, 2025","Mar 17, 2026",Removed from ICE list published 3/17/2026
Lewisville Police Department,INDIANA,"Sep 9, 2025","Mar 13, 2026",Removed from ICE list published 03/13/2026
Palmyra Police Department,WISCONSIN,"Sep 22, 2025","Mar 13, 2026",Removed from ICE list published 03/13/2026
Wayland Police Department,NEW YORK,"Jan 7, 2026","Mar 12, 2026",Removed from ICE list published 03/12/2026
Dickson City Police Department,PENNSYLVANIA,"Feb 23, 2026","Mar 12, 2026",Removed from ICE list published 03/12/2026
Quarryville Borough Police Department,PENNSYLVANIA,"Jul 7, 2025","Mar 11, 2026","Removed from ICE list published 03/11/2026 | ""Quarryville police withdraw from ICE agreement"" (Lancaster Online)"
Pine Grove Borough Police Department,PENNSYLVANIA,"Feb 27, 2026","Mar 6, 2026",Removed from ICE list published 03/06/2026
Allegany County Sheriff's Office,MARYLAND,"Jun 12, 2025","Mar 6, 2026",Removed from ICE list published 03/06/2026 | Maryland Legislation
Virginia DOC Law Enforcement Services,VIRGINIA,"Jun 11, 2025","Mar 3, 2026",Removed from ICE list published 03/03/2026 | VA Governor Spanberger EO
Virginia Department of Corrections,VIRGINIA,"Feb 28, 2025","Mar 3, 2026",Removed from ICE list published 03/03/2026 | VA Governor Spanberger EO
Garrett County Sheriff's Office,MARYLAND,"Feb 28, 2025","Mar 3, 2026",Removed from ICE list published 03/03/2026 | Maryland Legislation
South Pymatuning TWP State Constable,PENNSYLVANIA,"Jul 15, 2025","Mar 3, 2026",Removed from ICE list published 03/03/2026
Carroll County Sheriff’s Office,MARYLAND,"Mar 3, 2025","Feb 27, 2026",Removed from ICE list published 2/27/2026 | Maryland Legislation
St. Mary's County Sheriff's Office,MARYLAND,"Mar 26, 2025","Feb 27, 2026",Removed from ICE list published 2/27/2026 | Maryland Legislation
Harford County Sheriff's Office,MARYLAND,"Jun 26, 2020","Feb 27, 2026",Removed from ICE list published 2/27/2026 | Maryland Legislation
Wicomico County Corrections Center,MARYLAND,"Jan 30, 2026","Feb 27, 2026",Removed from ICE list published 2/27/2026 | Maryland Legislation
Frederick County Sheriff's Office,MARYLAND,"Jun 9, 2020","Feb 27, 2026",Removed from ICE list published 2/27/2026 | Maryland Legislation
Cecil County Sheriff's Office,MARYLAND,"Mar 9, 2020","Feb 27, 2026",Removed from ICE list published 2/27/2026 | Maryland Legislation
Pike County Sheriff's Office,ALABAMA,"May 20, 2025","Feb 10, 2026",Removed from ICE list published 2/10/2026
Virginia Department of Wildlife Resources,VIRGINIA,"Jun 11, 2025","Feb 9, 2026",Removed from ICE list published either 2/9 or 2/10/2026
Virginia Marine Resources Commission,VIRGINIA,"Jun 11, 2025","Feb 6, 2026",Removed from ICE list published 2/6/2026 | VA Governor Spanberger EO
Virginia Department of State Police,VIRGINIA,"Feb 28, 2025","Feb 6, 2026",Removed from ICE list published 2/6/2026 | VA Governor Spanberger EO
Eufaula Police Department,OKLAHOMA,"Apr 24, 2025","Feb 6, 2026",Removed from ICE list published 2/6/2026
Batesville Police Department,ARKANSAS,"Sep 22, 2025","Feb 6, 2026",Removed from ICE list published 2/6/2026
Blountsville Police Department,ALABAMA,"Dec 8, 2025","Jan 25, 2026",Removed from ICE published list on 01/25/2026.
Jackson County Sheriff's Office,MINNESOTA,"Mar 7, 2025","Jan 20, 2026",Appears to have been canceled after County Board of Commissioners meeting on 01/20/2026
Coraopolis Borough Police Department,PENNSYLVANIA,"Jan 7, 2026","Jan 19, 2026","Signed January 7th, canceled by borough council vote on January 19th. "
Bucks County Sheriff's Office,PENNSYLVANIA,"May 13, 2025","Jan 14, 2026",Canceled by new Sheriff Danny Ceisler on 01/14/2026
Webb County Sheriff's Office,TEXAS,"Oct 17, 2025","Dec 9, 2025",Replaced by new JEM agreement signed 12.02.2025 as of ICE list published 12.09.2025
Brown County Sheriff's Office,NEBRASKA,"Jun 18, 2025","Dec 8, 2025","Absent in ICE list published December 08, 2025."
Christian County Sheriff's Office,MISSOURI,"Mar 21, 2025","Dec 8, 2025","Absent in ICE list published December 08, 2025."
Brown County Sheriff's Office,NEBRASKA,"Jul 2, 2025","Dec 8, 2025","Absent in ICE list published December 08, 2025."
Robinson Township Police Department,PENNSYLVANIA,"Jul 18, 2025",null,Unclear when canceled; removed from our list on 1/22/2026
Houston County Sheriff's Office,ALABAMA,"Jul 7, 2025",null,Unclear when canceled; removed from our list on 1/22/2026
Munhall Borough Police Department,PENNSYLVANIA,"Nov 18, 2025",null,null
Marlboro County Sheriff's Office,SOUTH CAROLINA,"Jun 11, 2025",null,null
"Stowe Township Police Department ",PENNSYLVANIA,"Nov 18, 2025",null,null
Biglerville Borough Police Department,PENNSYLVANIA,"Nov 5, 2025",null,null
Christian County Sheriff's Office,MISSOURI,"Jul 7, 2025",null,No confirmed cancelation date.
